,precision,recall,f1-score,support
Anthracnose,0.9375,1.0,0.967741935483871,15.0
Bacterial Blight,0.7619047619047619,1.0,0.8648648648648649,16.0
Citrus Canker,0.9629629629629629,1.0,0.9811320754716981,26.0
Curl Virus,1.0,0.9444444444444444,0.9714285714285714,18.0
Deficiency Leaf,1.0,1.0,1.0,29.0
Dry Leaf,1.0,1.0,1.0,28.0
Healthy Leaf,0.96875,1.0,0.9841269841269841,31.0
Sooty Mould,0.95,0.8260869565217391,0.8837209302325582,23.0
Spider Mites,1.0,0.8823529411764706,0.9375,17.0
Witch's Broom,1.0,0.9818181818181818,0.9908256880733946,110.0
accuracy,0.9712460063897763,0.9712460063897763,0.9712460063897763,0.9712460063897763
macro avg,0.9581117724867724,0.9634702523960836,0.9581341049681942,313.0
weighted avg,0.9749880614297548,0.9712460063897763,0.9716005070588917,313.0
