,precision,recall,f1-score,support
Anthracnose,0.9375,1.0,0.967741935483871,15.0
Bacterial Blight,0.8888888888888888,1.0,0.9411764705882353,16.0
Citrus Canker,0.9285714285714286,1.0,0.9629629629629629,26.0
Curl Virus,1.0,0.9444444444444444,0.9714285714285714,18.0
Deficiency Leaf,1.0,1.0,1.0,29.0
Dry Leaf,1.0,0.9642857142857143,0.9818181818181818,28.0
Healthy Leaf,0.96875,1.0,0.9841269841269841,31.0
Sooty Mould,1.0,0.9565217391304348,0.9777777777777777,23.0
Spider Mites,0.9375,0.8823529411764706,0.9090909090909091,17.0
Witch's Broom,1.0,0.9818181818181818,0.9908256880733946,110.0
accuracy,0.9776357827476039,0.9776357827476039,0.9776357827476039,0.9776357827476039
macro avg,0.9661210317460316,0.9729423020855247,0.9686949481350888,313.0
weighted avg,0.9789020107510524,0.9776357827476039,0.9777342157021549,313.0
