,precision,recall,f1-score,support
Anthracnose,0.8823529411764706,1.0,0.9375,15.0
Bacterial Blight,0.8888888888888888,1.0,0.9411764705882353,16.0
Citrus Canker,1.0,1.0,1.0,26.0
Curl Virus,1.0,0.8888888888888888,0.9411764705882353,18.0
Deficiency Leaf,1.0,1.0,1.0,29.0
Dry Leaf,1.0,1.0,1.0,28.0
Healthy Leaf,0.96875,1.0,0.9841269841269841,31.0
Sooty Mould,1.0,0.9130434782608695,0.9545454545454546,23.0
Spider Mites,1.0,0.9411764705882353,0.9696969696969697,17.0
Witch's Broom,1.0,1.0,1.0,110.0
accuracy,0.9840255591054313,0.9840255591054313,0.9840255591054313,0.9840255591054313
macro avg,0.973999183006536,0.9743108837737994,0.9728222349545879,313.0
weighted avg,0.9855871129069305,0.9840255591054313,0.9840569662854007,313.0
